Name,support_id
Tony Ressler,0
Lloyd Pierce,1
Travis Schlenk,2
Wyc Grousbeck,3
Brad Stevens,4
Danny Ainge,5
Tom Benson,6
Alvin Gentry,7
Trajan Langdon,8
Jerry Reinsdorf,9
Jim Boylen,10
Gar Forman,11
Mark Cuban,12
Rick Carlisle,13
Donnie Nelson,14
Stan Kroenke,15
Michael Malone,16
Tim Connelly,17
Tilman Fertitta,18
Mike D'Antoni,19
Daryl Morey,20
Steve Ballmer,21
Doc Rivers,22
Michael Winger,23
Jerry Buss Family Trust,24
Frank Vogel,25
Rob Pelinka,26
Micky Arison,27
Erik Spoelstra,28
Pat Riley,29
Wesley Edens &Â Marc Lasry,30
Mike Budenholzer,31
Jon Horst,32
Glen Taylor,33
Ryan Saunders,34
Scott Layden,35
Joe Tsai,36
Kenny Atkinson,37
Sean Marks,38
Cablevision (James Dolan),39
